"C_CustomerID";"C_LoginCode";"C_CustomerChainID";"C_CustomerName";"Address1";"Address2";"City";"State";"Zip";"Phone"
1;"C_TEST";42;"TEST 1";"211 Waikiki Drive";"";"Nutbush";"TN";"55555";"6204214880"
2;"ctest2";30;"TEST 2";"1 test dr.";"NULL";"testerville";"KS";"67558";"3165584545"
3;"ctest3";14;"TEST 3";"2 Test Dr.";"NULL";"Toledo";"OH";"55555";"5555555556"
4;"C_TEST_X";9;"TEST 4";"256 MegRam Drive";"";"Iomega";"KY";"55555";"5555555555"
5;"EMPTY";223;"TEST 5";"Corner of Houston and Elm";"NULL";"Dallas";"LA";"59864";"1658956324"
7;"IHG";107;"Intercontinental Hotel Group";"14 November Ave.";"NULL";"Novoville";"NV";"56986";"1569856489"
8;"BWC";20;"Best Western";"";"";"";"";"";"0"
9;"bmctest";247;"TEST 6";"123 Any Street";"NULL";"AnyTown";"AK";"99999";"8885551212"
10;"baymontcorp";18;"Baymont Inns & Suites";"";"";"Milwaukee";"WI";"";"0"
11;"USFS_HAW";82;"US Franchise (Hawthorn)";"13 Corporate Square";"Suite 250";"Atlanta";"GA";"30329";"4043214045"
12;"USFS_MINN";140;"US Franchise (Microtel)";"13 Corporate Square";"Suite 250";"Atlanta";"GA";"30329";"0"
13;"BSCH";1;"Bridgestreet Corporate Housing";"4501 N. Fairfax Drive";"NULL";"Arlington";"VA";"22203";"7033873600"
14;"RADWHIT01";168;"Radisson Whittier";"7320 Greenleaf Ave";"";"Whittier";"CA";"90602";"5626458511"
15;"PRIME_HOSP";1;"Prime Hospitality";"N/A";"";"";"";"";"9734296021"
16;"MARCUS";1;"Marcus Corporation";"";"";"";"";"";"0"
17;"LeisureCorp";1;"Leisure";"4501 College Blvd Suite 275";"";"Leawood";"KS";"66211";"9139051460"
18;"LeisureCorp";1;"Leisure Hotels Group";"4501 College Blvd Suite 275";"";"Leawood";"KS";"66211";"9139051460"
23;"AccorNA";7;"Accor North America";"4001 International Pkwy";"";"Carrollton";"TX";"75007";"8882427980"
24;"WHI_HOTELS";1;"Winegardner and Hammons";"4243 Hunt Road";"";"Cincinnati";"OH";"45242";"5138911066"
26;"tims";250;"TIMS ";"133 Farmgate Ln, Ste. 300";"";"Silver Spring ";"MD";"20905";"3016178730"
27;"blugrn";1;"Bluegreen Corporation";"4960 Conference Way North Suite 100 ";"";"Boca Raton ";"FL";"33431";"5614438508"
28;"choice";38;"Choice Hotels International";"4225 East Windrose Dr.";"";"Phoenix";"AZ";"85032";"6024946631"
29;"VALUEPL";1;"Value Place Corp.";"";"";"Wichita";"KS";"";"0"
30;"SKOOSHINT";1;"Skoosh";"";"";"";"";"";"0"
34;"Potomac";1;"Potomac Hospitality";"101 E Dover St";"NULL";"Easton";"MD";"21601";"4108221300"
